ক্রম	নির্বাচনী এলাকার নম্বর ও নাম	প্রতিদ্ন্্বী প্রার্থী	রাজনৈতিক দল	প্রতীক	মন্তব্য
১৪২৯	২২৯ সিলেট-১	মোহাম্মদ সোহেল আহমদ চৌধুরী	বাংলাদেশ কংগ্রেস	ভাৰ	
৯৪৩০	২৩০ সিলেট-২	শফিকুর রহমান চৌধুরী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৪৩৯	২৩০ সিলেট-২	ইয়াহিয়া চৌধুরী	- জাতীয় পাটি	লাঙ্গল	
১৪৩২	২৩০ সিলেট-২	মোঃ মনোয়ার হোসাইন	- ন্যাশনাল পিপলসূ পাটি	আম	
১৪৩৩	২৩০ সিলেট-২	মোহাম্মদ আব্দুর রব	ভূণমূল বিএনপি	সোনালী আশি	
৯৪৩৪	২৩০ সিলেট-২	মোঃ জহির	বাংলাদেশ কংগ্রেস	ডাৰ	
৯৪৩৫	২৩০ সিলেট-২	মোকাব্মির খান	গণ ফোরাম	উদীয়মান সূর্য	
১৪৩৬	২৩১ সিলেট-৩	হাবিবুর রহমান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৪৩৭	২৩১ সিলেট-৩	আনোয়ার হোসেন আফরোজ	- ন্যাশনাল পিপলসূ পাটি	আম	
৯৪৩৮	২৩১ সিলেট-৩	মোঃ ইহতেশামুল হক চৌধুরী	স্বতন্ত্র	ট্রাক	
১৯৪৩৯	২৩১ সিলেট-৩	শেখ জাহেদুর রহমান মাসুম	বাংলাদেশ ইসলামী ফ্রন্ট	মোমবাতি	
১৪৪০	২৩১ সিলেট-৩	মোহাম্মদ আতিকুর রহমান	- জাতীয় পাটি	লাঙ্গল	
৯৪৪১	২৩১ সিলেট-৩	মোঃ মইনুল ইসলাম	ইসলামী এঁক্যজোট	মিনার	
১৪৪২	২৩২ সিলেট-৪	ইমরান আহমদ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৪৪৩	২৩২ সিলেট-৪	মোঃ নাজিম উদ্দিন (কামরান)	ইসলামী এঁক্যজোট	মিনার	
১৪৪৪	২৩২ সিলেট-৪	মো: আবুল হোসেন	ভূণমূল বিএনপি	সোনালী আশি	
৯৪৪৫	২৩৩ সিলেট-৫	মাসুক উদ্দিন আহমদ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৪৪৬	২৩৩ সিলেট-৫	মোহাম্মদ হুছামুদ্দীন চৌধুরী	স্বতন্ত্র	কেটলি	
১৪৪৭	২৩৩ সিলেট-৫	আহমদ আল কবির	স্বতন্ত্র	ট্রাক	
১৪৪৮	২৩৩ সিলেট-৫	কুতুব উদ্দীন আহমদ শিকদার	ভূণমূল বিএনপি	সোনালী আশি	
৯৪৪৯	২৩৩ সিলেট-৫	শাকীর আহমদ	- জাতীয় পাটি	লাঙ্গল	
১৪৫০	২৩৩ সিলেট-৫	মোঃ বদরুল আলম	বাংলাদেশ কংগ্রেস	ডাৰ	
১৪৫৯	২৩৩ সিলেট-৫	মোঃ খায়রুল ইসলাম	বাংলাদেশ মুসলিম লীগ	হাত (পার্জা)	
১৪৫২	২৩৪ সিলেট-৬	সেলিম উদ্দিন	- জাতীয় পাটি	লাঙ্গল	
৯৪৫৩	২৩৪ সিলেট-৬	আতাউর রহমান	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৯৪৫৪	২৩৪ সিলেট-৬	সরওয়ার হোসেন	স্বতন্ত্র	ঈগল	
৯৪৫৫	২৩৪ সিলেট-৬	নুরুল ইসলাম নাহিদ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৪৫৬	২৩৪ সিলেট-৬	শমসের মুবিন চৌধুরী	ভূণমূল বিএনপি	সোনালী আশি	
৯৪৫৭	২৩৪ সিলেট-৬	সাদিকুর রহমান	ইসলামী এঁক্যজোট	মিনার	
৯৪৫৮	২৩৫ মৌলভীবাজার-১	মোঃ শাহাব উদ্দিন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৪৫৯	২৩৫ মৌলভীবাজার-১	আহেমদ রিয়াজ উদ্দিন	- জাতীয় পাটি	লাঙ্গল	
৯৪৬০	২৩৫ মৌলভীবাজার-১	মোঃ আনোয়ার হোসেন	ভূণমূল বিএনপি	সোনালী আশি	
১৪৬৯	২৩৫ মৌলভীবাজার-১	মোহাম্মদ ময়নুল ইসলাম	স্বতন্ত্র	ট্রাক	
১৪৬২	২৩৬ মৌলভীবাজার-২	এ.কে.এম. সফি আহমদ সলমান	স্বতন্ত্র	ট্রাক	
৯৪৬৩	২৩৬ মৌলভীবাজার-২	মোঃ আব্দুল মতিন	স্বতন্ত্র	কীচি	
১৪৬৪	২৩৬ মৌলভীবাজার-২	শফিউল আলম চৌধরুী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৪৬৫	২৩৬ মৌলভীবাজার-২	এম এম শাহীন	ভূণমূল বিএনপি	সোনালী আশি	
১৪৬৬	২৩৬ মৌলভীবাজার-২	মাওলানা আছলাম হোসাইন রহমানী	ইসলামী এঁক্যজোট	মিনার	
১৪৬৭	২৩৬ মৌলভীবাজার-২	মোঃ কামরুজ্জামান সিমু	বিকল্প ধারা বাংলাদেশ	কুলা	
৯৪৬৮	২৩৬ মৌলভীবাজার-২	এনামুল হক মাহতাব	বাংলাদেশ ইসলামী ফ্রন্ট	মোমবাতি	
৯৪৬৯	২৩৬ মৌলভীবাজার-২	মোঃ আব্দুল মালিক	- জাতীয় পাটি	লাঙ্গল	
১৪৭০	২৩৭ মৌলভীবাজার-৩	আব্দুল মোসাব্বির	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
১৪৭৯ ৩	২৩৭ মৌলভীবাজার-৩	মোঃ আলতাফুর রহমান	- জাতীয় পাটি	লাঙ্গল	
১৪৭২	২৩৭ মৌলভীবাজার-৩	মোঃ ফাহাদ আলম	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
১৪৭৩	২৩৭ মৌলভীবাজার-৩	মোঃ আব্দুর রউফ	বাংলাদেশ ইসলামী ফ্রন্ট	মোমবাতি	
১৪৭৪	২৩৭ মৌলভীবাজার-৩	মোহাম্মদ জিন্তুর রহমান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৯৪৭৫	২৩৭ মৌলভীবাজার-৩	তাপস কুমার ঘোষ	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
৯৪৭৬	২৩৭ মৌলভীবাজার-৩	মোঃ আবু বকর	- ন্যাশনাল পিপলসূ পাটি	আম	
১৪৭৭	২৩৮ মৌলভীবাজার-৪	মোঃ আব্দুস শহীদ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৪৭৮	২৩৮ মৌলভীবাজার-৪	মোঃ আনোয়ার হোসাইন	ইসলামী এঁক্যজোট	মিনার	
১৪৭৯	২৩৮ মৌলভীবাজার-৪	আঃ মুছিদ হাসানী	বাংলাদেশ ইসলামী ফ্রন্ট	মোমবাতি	
১৪৮০	২৩৯ হৃবিগঞ্জ১	মিঃ মোহাম্মদ আব্দুল মুনিম চৌধুরী	- জাতীয় পাটি	লাঙ্গল	
৯৪৮১	২৩৯ হৃবিগঞ্জ১	জনাব গাজী মোহাম্মদ শাহেদ	স্বতন্ত্র	ট্রাক	
১৪৮৯	২৩৯ হৃবিগঞ্জ১	জনাব মোস্তাক আহমেদ ফারকানী	ইসলামী এঁক্যজোট	মিনার	
৯৪৮৩	২৩৯ হৃবিগঞ্জ১	মোঃ নুরুল হক	কৃষক শ্রমিক জনতা লীগ	গামছা	
৯৪৮৪	২৩৯ হৃবিগঞ্জ১	আমাতুল কিবরিয়া কেয়া চৌধুরী	স্বতন্ত্র	ঈগল	
৯৪৮৫	২৪০ হবিগঞ্জ-২	গ্র্যাডভোকেট মনমোহন দেবনাথ	কৃষক শ্রমিক জনতা লীগ	গামছা	
৯৪৮৬	২৪০ হবিগঞ্জ-২	ময়েজ উদ্দিন শরীফ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৪৮৭	২৪০ হবিগঞ্জ-২	শেখ হিফজুর রহমান	ইসলামী এঁক্যজোট	মিনার	
৯৪৮৮	২৪০ হবিগঞ্জ-২	শংকর পাল	- জাতীয় পাটি	লাঙ্গল	
৯৪৮৯	২৪০ হবিগঞ্জ-২	এস এ এম সোহাগ	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৯৪৯০	২৪০ হবিগঞ্জ-২	মোহাম্মদ আব্দুল হামিদ	ইসলামিক ফ্রন্ট বাংলাদেশ	চেয়ার	
১৪৯৯	২৪০ হবিগঞ্জ-২	খায়রুল আলম	ভূণমূল বিএনপি	সোনালী আশি	
১৪৯২	২৪০ হবিগঞ্জ-২	মোঃ জিয়াউর রশিদ	বাংলাদেশ কংগ্রেস	ডাৰ	
১৪৯৩	২৪০ হবিগঞ্জ-২	মোঃ আব্দুল মজিদ খান	স্বতন্ত্র	ঈগল	
১৪৯৪	২৪১ হবিগঞ্জ-৩	মোঃ আদম আলী	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
১৪৯৫	২৪১ হবিগঞ্জ-৩	মোঃ বদরুল আলম সিদ্দীকী	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গার	
৯৪৯৬	২৪১ হবিগঞ্জ-৩	মোঃ আবু জাহির	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৪৯৭	২৪১ হবিগঞ্জ-৩	আব্দুল মুমিন চৌধুরী	- জাতীয় পাটি	লাঙ্গল	
৯৪৯৮	২৪১ হবিগঞ্জ-৩	মোঃ আঃ কাদির	- ন্যাশনাল পিপলসূ পাটি	আম	
১৪৯৯	২৪১ হবিগঞ্জ-৩	মোঃ আনছারুল হক	- জাকের পাটি	গোলাপ ফুল	
৯৫০০	২৪১ হবিগঞ্জ-৩	মোঃ আব্দুল ওয়াহেদ	ইসলামিক ফ্রন্ট বাংলাদেশ	চেয়ার	
৯৫০১	২৪১ হবিগঞ্জ-৩	মোঃ নোমান হাছান	বাংলাদেশ কংগ্রেস	ডাৰ	
১৫০২	২৪১ হবিগঞ্জ-৩	মোঃ শাহীনুর রহমান	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৯৫০৩	২৪২ হবিগঞ্জ-৪	মোঃ আল আমিন	বাংলাদেশ কংগ্রেস	ডাৰ	
৯৫০৪	২৪২ হবিগঞ্জ-৪	জনাব আবু ছালেহ	ইসলামী এঁক্যজোট	মিনার	
৯৫০৫	২৪২ হবিগঞ্জ-৪	জনাব আহাদ উদ্দিন টৌধুরী	- জাতীয় পাটি	লাঙ্গল	
৯৫০৬	২৪২ হবিগঞ্জ-৪	মোহাম্মদ আব্দুল মমিন	ইসলামিক ফ্রন্ট বাংলাদেশ	চেয়ার	
১৫০৭	২৪২ হবিগঞ্জ-৪	মোঃ মাহাবুব আলী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৫০৮	২৪২ হবিগঞ্জ-৪	মোঃ মোখলেছুর রহমান	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৯৫০৯	২৪২ হবিগঞ্জ-৪	মোঃ রাশেদুল ইসলাম খোকন	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৯৫১০	২৪২ হবিগঞ্জ-৪	সৈয়দ সায়েদুল হক	স্বতন্ত্র	ঈগল	
১৫১৯ ৩	২৪৩ ব্রান্মণবাড়িয়া-১	মো: ইসলাম উদ্দিন	বাংলাদেশ ইসলামী ফ্রন্ট	মোমবাতি	
১৫১২	২৪৩ ব্রান্মণবাড়িয়া-১	মোহাম্মদ শাহনুল করিম	- জাতীয় পাটি	লাঙ্গল	
১৫১৩	২৪৩ ব্রাহ্মণবাড়িয়া-১	মোহাম্মদ বকুল হুসেন	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
১৫১৪	২৪৩ ব্রাহ্মণবাড়িয়া-১	বদরুদ্দোজা মোঃ ফরহাদ হোসেন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৯৫১৫	২৪৩ ব্রান্মণবাড়িয়া-১	এস.এ.কে একরামুজ্জামান	স্বতন্ত্র	কলার ছড়ি	
১৫১৬	২৪৪ ব্রাহ্মণবাড়িয়া-২	মোঃ আবুল হাসানাত	ইসলামী এঁক্যজোট	মিনার	
৯৫১৭	২৪৪ ব্রাহ্গণবাড়িয়া-২	মোঃ রাজ্জাক হোসেন	- ন্যাশনাল পিপলসূ পাটি	আম	
১৫১৮	২৪৪ ব্রাহ্গণবাড়িয়া-২	মাইনুল হাসান	ভূণমূল বিএনপি	সোনালী আশি	
১৫১৯	২৪৪ ব্রাহ্মণবাড়িয়া-২	এডঃ মোঃ জিয়াউল হক মৃধা	স্বতন্ত্র	ঈগল	
১৫২০	২৪৪ ব্রাহ্মণবাড়িয়া-২	মোঃ মঈন উদ্দিন	স্বতন্ত্র	কলার ছড়ি	
১৫২১	২৪৪ ব্রাহ্মণবাড়িয়া-২	মোঃ রেজাউল ইসলাম ভূঞা	- জাতীয় পাটি	লাঙ্গল	
১৫২২	২৪৪ ব্রাহ্মণবাড়িয়া-২	ছৈয়দ জাফরুল কদ্দুছ	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
১৫২৩	২৪৫ ব্রান্মণবাড়িয়া-৩	র, আ, ম, উবায়দুল মোকতাদির চৌধুরী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৫২৪	২৪৫ ব্রান্মণবাড়িয়া-৩	সৈয়দ মোঃ নুরে আলম	বাংলাদেশ ইসলামী ফ্রন্ট	মোমবাতি	
১৫২৫	২৪৫ ব্রান্মণবাড়িয়া-৩	সৈয়দ মাহমুদুল হক আন্ধাছ	- ন্যাশনাল পিপলসূ পাটি	আম	
১৫২৬	২৪৫ ব্রান্মণবাড়িয়া-৩	মাওলানা মুজিবুর রহমান হামিদী	বাংলাদেশ খেলাফত আন্দোলন	বটগাছ	
১৫২৭	২৪৫ ব্রান্মণবাড়িয়া-৩	মোঃ আবদুর রহমান খান (ওমর)	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
১৫২৮	২৪৫ ব্রান্মণবাড়িয়া-৩	ফিরোজুর রহমান	স্বতন্ত্র	কীচি	
১৫২৯	২৪৫ ব্রান্মণবাড়িয়া-৩	জামাল রানা	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৯৫৩০	২৪৫ ব্রান্মণবাড়িয়া-৩	সোহেল মোল্লা	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৯৫৩৯	২৪৬ ব্রাহ্গণবাড়িয়া-৪	আনিসুল হক	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৫৩২	২৪৬ ব্রাহ্গণবাড়িয়া-৪	শাহীন খান	- ন্যাশনাল পিপলসূ পাটি	আম	
১৫৩৩	২৪৬ ব্রাহ্গণবাড়িয়া-৪	ছৈয়দ জাফরুল কদ্দুছ	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
৯৫৩৪	২৪৭ ব্রান্মণবাড়িয়া-৫	জামাল সরকার	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
১৫৩৫	২৪৭ ব্রান্মণবাড়িয়া-৫	ফয়জুর বহমান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৫৩৬	২৪৭ ব্রান্মণবাড়িয়া-৫	এ কে এম মমিনুল হক সাইদ	স্বতন্ত্র	ঈগল	
৯৫৩৭	২৪৭ ব্রান্মণবাড়িয়া-৫	মোঃ মোবারক হোসেন	- জাতীয় পাটি	লাঙ্গল	
১৫৩৮	২৪৭ ব্রান্মণবাড়িয়া-৫	মোঃ মেহেদী হাসান	ইসলামী এঁক্যজোট	মিনার	
১৫৩৯	২৪৭ ব্রান্মণবাড়িয়া-৫	ছৈয়দ জাফরুল কদ্দুছ	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
১৫৪০	২৪৭ ব্রান্মণবাড়িয়া-৫	সুফতী হাবিবুর রহমান	ভূণমূল বিএনপি	সোনালী আশি	
১৫৪৯	২৪৮ ব্রাহ্মণবাড়িয়া-৬	ক্যাপ্টেন জব.) এ বি তাজুল ইসলাম	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৫৪২	২৪৮ ব্রাহ্মণবাড়িয়া-৬	মোঃ আমজাদ হোসেন	- জাতীয় পাটি	লাঙ্গল	
১৯৫৪৩	২৪৮ ব্রাহ্মণবাড়িয়া-৬	কবির মিয়া	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৯৫৪৪	২৪৮ ব্রাহ্মণবাড়িয়া-৬	মোঃ সফিকুল ইসলাম	- ন্যাশনাল পিপলসূ পাটি	আম	
৯৫৪৫	২৪৯ কুমিল্লা-১	মোঃ আবদুস সবুর	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৯৫৪৬	২৪৯ কুমিল্লা-১	মোঃ জাকির হোসেন	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
১৫৪৭	২৪৯ কুমিল্লা-১	মোঃ জসিম উদ্দিন ভূইয়া	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৯৫৪৮	২৪৯ কুমিল্লা-১	মোহাম্মদ আমির হোসেন	- জাতীয় পাটি	লাঙ্গল	
১৫৪৯	২৪৯ কুমিল্লা-১	মাওঃ মোঃ নাছির উদ্দিন	ইসলামী এঁক্যজোট	মিনার	
৯৫৫০	২৪৯ কুমিল্লা-১	বড়ুয়া মনোজিত ধীমন	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
১৫৫৯	২৪৯ কুমিল্লা-১	সুলতান জিসান উদ্দিন	ভূণমূল বিএনপি	সোনালী আশি	
১৫৫২	২৫০ কুমিল্লা-২	মোঃ মাইনুদ্দিন	ভূণমূল বিএনপি	সোনালী আশি	
১৫৫৩	২৫০ কুমিল্লা-২	মোঃ আবদুল মজিদ	স্বতন্ত্র	ট্রাক	
৯৫৫৪	২৫০ কুমিল্লা-২	এ.টি-এম মঞ্জুরুল ইসলাম	- জাতীয় পাটি	লাঙ্গল	
৯৫৫৫	২৫০ কুমিল্লা-২	আব্দুস সালাম	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
১৫৫৬	২৫০ কুমিল্লা-২	মোঃ আলতাফ হোসাইন	ইসলামী এঁক্যজোট	মিনার	
১৫৫৭	২৫০ কুমিল্লা-২	মাওলানা সুলতান মহিউদ্দিন	বাংলাদেশ খেলাফত আন্দোলন	বটগাছ	
৯৫৫৮	২৫০ কুমিল্লা-২	মোঃ শফিকুল আলম	স্বতন্ত্র	ঈগল	
১৯৫৫৯	২৫০ কুমিল্লা-২	সেলিমা আহমাদ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৫৬০	২৫০ কুমিল্লা-২	সিরাজুল টম সুডেন	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৯৫৬১	২৫১ কুমিল্লা-৩	OCR ERROR(441, 410, 824, 445)	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
১৫৬২	২৫১ কুমিল্লা-৩	মোহাম্মদ শরিফুল আলম চৌধুরী	গণক্ন্ট	মাছ	
১৫৬৩	২৫১ কুিল্লা-৩	ফোরকান উদ্দিন আহম্মদ	- বাংলাদেশ ন্যাশনাল আওয়ামী পাটি [ন্যোপ)	কুঁড়ে ঘর	
১৯৫৬৪	২৫১ কুিল্লা-৩	মোঃ আলমগীর হোসেন	- জাতীয় পাটি	লাঙ্গল	
৯৫৬৫	২৫১ কুমিল্লা-৩	বসির আহম্মদ	কৃষক শ্রমিক জনতা লীগ	গামছা	
৯৫৬৬	২৫১ কুিল্লা-৩	ইউসুফ আব্দুল্লাহ হারুন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৫৬৭	২৫১ কুিল্লা-৩	মোঃ সাজ্জাদুল হোসাইন	ইসলামিক ফ্রন্ট বাংলাদেশ	চেয়ার	
১৫৬৮	২৫১ কুিল্লা-৩	মোঃ আমিনুল ইসলাম	বাংলাদেশ কংগ্রেস	ডাৰ	
৯৫৬৯	২৫১ কুমিল্লা-৩	মোঃ বাছির মিয়া	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
১৫৭০	২৫১ কুমিল্লা-৩	বেনজির আলম অনন	- জাকের পাটি	গোলাপ ফুল	
১৫৭১	২৫২ কুমিল্লা-৪	মোহাম্মদ ইউসুফ	- জাতীয় পাটি	লাঙ্গল	
১৫৭২	২৫২ কুমিল্লা-৪	শীহেরা বেগম	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
৯৫৩	২৫২ কুমিল্লা-৪	মোঃ আবুল কালাম আজাদ	স্বতন্ত্র	ঈগল	
১৫৭৪	২৫২ কুমিল্লা-৪	মোঃ মাহবুবুল আলম	ভূণমূল বিএনপি	সোনালী আশি	
১৫৭৫	২৫২ কুমিল্লা-৪	রাজী মোহাম্মদ ফখরুল	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৫৭৬	২৫২ কুমিল্লা-৪	মোঃ আজহারুল করিম মুজী	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
১৫৭৭	২৫২ কুমিল্লা-৪	মোহাম্মদ শফিউল বাদশা	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
১৯৫৭৮	২৫২ কুমিল্লা-৪	মোঃ ইকরাম হোসেন	- ন্যাশনাল পিপলসূ পাটি	আম	
১৫৭৯	২৫২ কুমিল্লা-৪	শিমুল হোসেন	ইসলামিক ফ্রন্ট বাংলাদেশ	চেয়ার	
৯৫৮০	২৫২ কুমিল্লা-৪	রফিকুল্লাহ সাদী	ইসলামী এঁক্যজোট	মিনার	
১৫৮৯	২৫২ কুমিল্লা-৪	মোঃ আলা উদ্দিন	গণক্ন্ট	মাছ	
১৫৮৯	২৫২ কুমিল্লা-৪	মোঃ নাছির আল মামুন	- বাংলাদেশ কল্যাণ পাটি	হাতঘড়ি	
১৫৮৩	২৫৩ কুমিল্লা-৫	শওকত মাহমুদ	স্বতন্ত্র	ঈগল	
৯৫৮৪	২৫৩ কুমিল্লা-৫	এহতেশামুল হাসান ভূইয়া	স্বতন্ত্র	ট্রাক	
৯৫৮৫	২৫৩ কুমিল্লা-৫	সাজ্জাদ হোসেন	স্বতন্ত্র	ফুলকপি	
১৫৮৬	২৫৩ কুমিল্লা-৫	মোঃ জাহাঙ্গীর আলম	- জাতীয় পাটি	লাঙ্গল	
১৫৮৭	২৫৩ কুমিল্লা-৫	এম এ জাহের	স্বতন্ত্র	কেটলি	
৯৫৮৮	২৫৩ কুমিল্লা-৫	মুহাম্মদ খাজা বাকী বিল্লাহ	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৯৫৮৯	২৫৩ কুমিল্লা-৫	আবুল হাসেম খান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৫৯০	২৫৩ কুমিল্লা-৫	মোঃ জাহাঙ্গীর খান চৌধুরী	স্বতন্ত্র	কীচি	
১৫৯৯	২৫৩ কুমিল্লা-৫	OCR ERROR(441, 1626, 824, 1661)	গণ ফোরাম	উদীয়মান সূর্য	
১৫৯২	২৫৪ কুমিল্লা-৬	আ,ক,ম বাহাউদ্দীন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৫৯৩	২৫৪ কুমিল্লা-৬	আন্ভুম সুলতানা	স্বতন্ত্র	ঈগল	
১৫৯৪	২৫৪ কুমিল্লা-৬	এয়ার আহমেদ সেলিম	- জাতীয় পাটি	লাঙ্গল	
১৫৯৫	২৫৪ কুমিল্লা-৬	মোঃ আবুল হোসেন মজুমদার	- জাকের পাটি	গোলাপ ফুল	
১৫৯৬	২৫৪ কুমিল্লা-৬	মোহাম্মদ আব্দুল মজিদ	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
১৫৯৭	২৫৫ কুমিল্লা-	প্রান গোপাল দত্ত	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৫৯৮	২৫৫ কুমিল্লা-	মোঃ এমদাদুল হক	গণক্ন্ট	মাছ	
১৫৯৯	২৫৫ কুমিল্লা-	মোঃ লুৎফুর রেজা	- জাতীয় পাটি	লাঙ্গল	
৯৬০০	২৫৫ কুমিল্লা-	মোঃ সহিদুল্লাহ	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
১৬০১৯	২৫৫ কুমিল্লা-	তোফায়েল হোসাইন	কৃষক শ্রমিক জনতা লীগ	গামছা	
১৬০২	২৫৫ কুমিল্লা-	সালাম মিয়া	বাংলাদেশ কংগ্রেস	ডাৰ	
১৬০৩	২৫৬ কুমিল্লা-৮	আবু জাফর মোহাম্মদ শফি উদ্দিন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৬০৪	২৫৬ কুমিল্লা-৮	নুরুল ইসলাম মিলন	স্বতন্ত্র	ঈগল	
৯৬০৫	২৫৬ কুমিল্লা-৮	মোঃ দুলাল মিয়া	গণক্ন্ট	মাছ	
৯৬০৬	২৫৬ কুমিল্লা-৮	মোঃ মফিজ উদ্দীন আহমেদ	ইসলামী এঁক্যজোট	মিনার	
১৬০৭	২৫৬ কুমিল্লা-৮	মোজাম্মেল হক বশির	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৯৬০৮	২৫৬ কুমিল্লা-৮	আবুল ফারাহ মোঃ আঃ আজিজ	বাংলাদেশ খেলাফত আন্দোলন	বটগাছ	
৯৬০৯	২৫৬ কুমিল্লা-৮	শরীফুল ইসলাম	- জাকের পাটি	গোলাপ ফুল	
১৬৯০	২৫৬ কুমিল্লা-৮	এইচ. এম, এম ইরফান	- জাতীয় পাটি	লাঙ্গল	
৯৬১৯১	২৫৬ কুমিল্লা-৮	মোঃ আহসান উল্লাহ্‌	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
১৬১২	২৫৬ কুমিল্লা-৮	মোঃ হান্নান মিয়া	বাংলাদেশ কংগ্রেস	ডাৰ	
৯৬১৯৩	২৫৬ কুমিল্লা-৮	মোঃ মাসউদুল আলম	বাংলাদেশ ইসলামী ফ্রন্ট	মোমবাতি	
১৬৯৪	২৫৭ কুমিল্লা-৯	মোঃ গোলাম মোস্তফা কামাল	- জাতীয় পাটি	লাঙ্গল	
১৬৯৫	২৫৭ কুমিল্লা-৯	মোঃ তাজুল ইসলাম	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৬১৯৬	২৫৭ কুমিল্লা-৯	মোঃ আবু বকর ছিদ্দিক	ইসলামিক ফ্রন্ট বাংলাদেশ	চেয়ার	
৯৬১৯৭	২৫৭ কুমিল্লা-৯	মনিরুল আনোয়ার	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৯৬৯৮	২৫৭ কুমিল্লা-৯	মোঃ জমির উদ্দিন	কৃষক শ্রমিক জনতা লীগ	গামছা	
৯৬৯৯	২৫৭ কুমিল্লা-৯	মোঃ মোয়াজ্জেম হোসেন	বাংলাদেশ ইসলামী ফ্রন্ট	মোমবাতি	
১৯৬২০	২৫৮ কুমিল্লা-১০	এম অহিদুর রহমান	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
১৬২১	২৫৮ কুমিল্লা-১০	মোহাম্মদ কামরুজ্জামান	বাংলাদেশ কংগ্রেস	ভাৰ	
১৬২২	২৫৮ কুমিল্লা-১০	মিসেস জোনাকী হুমায়ুন	- জাতীয় পাটি	লাঙ্গল	
১৬২৩	২৫৮ কুমিল্লা-১০	আহম মুস্তফা কামাল	বাংলাদেশ আওয়ামী লীগ	নৌকা	
